id,nombre,descripcion,etiquetas,fecha
"1","Índice de Desarrollo Social de la Ciudad de México","El Índice de Desarrollo Social (IDS) 2020 de la Ciudad de México es una medida ponderada que integra las dimensiones de vivienda, acceso a servicios sanitarios (agua, drenaje y excusado), adecuación energética, acceso a servicios de telecomunicaciones, bienes durables, así como el rezago educativo, el acceso a los servicios de salud y a la seguridad social. Las estimaciones del IDS se calcularon a partir de las bases de datos del Censo de Población y Vivienda (Cuestionario básico)","Manzana Unidades,Territoriales,AGEB,Alcaldía","01-10-24"
"2","Afluencia diaria de la Red de Transporte de Pasajeros","Este conjunto de datos contiene la información de afluencia de usuarios en la Red de Transporte de Pasajeros (RTP). Los datos son con desagregación diaria a partir del 01 de enero de 2022.","afluencia,transporte,urbano,diaria","15-11-24"
"3","Afluencia diaria del Metro CDMX","La base de afluencia desglosada se refiere a la afluencia en el Organismo Público de Transporte STC Metro, separada por medio de acceso, los cuales son: Tarjeta Única de Movilidad Integrada, boleto y gratuidad, esta última se refiere al acceso gratuito para las personas adultos mayores, personas con discapacidad y/o niños menores de 5 años, de acuerdo a los requisitos establecidos por el Organismo.","afluencia,diaria,metro,trabsporte,urbano,semovi","14-11-24"
"4","Padrón de proveedores vigente de la Ciudad de México","Base de datos que contiene la relación de personas físicas y morales inscritas en el Padrón de Proveedores de la Administración Pública de la Ciudad de México vigente. Se actualiza mensualmente. La constancia tiene duración de un año.","compras,publicas,contratistas,provedores,proveedores,tianguis,transparencia","23-10-24"
"5","Cicloestaciones Ecobici","Ecobici es el sistema de bicicletas públicas de la Ciudad de México que ha integrado a la bicicleta como parte esencial de la movilidad. Es un modo de transporte dirigido a los habitantes de la capital, de sus alrededores y a los turistas.Permite a los usuarios registrados tomar una bicicleta de cualquier cicloestación y devolverla en la más cercana a su destino en trayectos ilimitados de 45 minutos. Quienes quieran acceder al Sistema Ecobici, podrán pagar una suscripción por un año, una semana, tres días o un día","movilidad,cicloestaciones,biciestacionamientos,transporte,ecobici","17-10-24"
"6","Víctimas en carpetas de investigación FGJ","Esta base de datos contiene la información actualizada de las víctimas de los delitos en las carpetas de investigación de la Fiscalía General de Justicia (FGJ) de la Ciudad de México a partir de enero de 2019. Los datos de esta base fueron actualizados por la FGJ el 29 de julio de 2020. En esta página se puede descargar una nota realizada por la FGJ en la que se explica el proceso de la actualización y la nueva información. Los datos anteriores a la podrán seguir consultándose.","Justicia ,seguridad,delitos,crimen","30-09-24"
"7","Ocupación hotelera en la Ciudad de México","Información mensual sobre el porcentaje de ocupación hotelera promedio en la Ciudad de México.","turismo,hoteles,hospedaje,gasto","03-09-24"
"8","Gasto hecho por turistas en la Ciudad de México","Información mensual sobre el gasto en pesos mexicanos de los turistas nacionales e internacionales hospedados en la Ciudad de México.","turismos,gasto,hospedaje,turismo,turistas,extranjeros,nacionales","03-09-24"
"9","Llegada de extranjeros al AICM","Información mensual sobre el número de personas extranjeras que llegan a la Ciudad de México a través del Aeropuerto Internacional de la Ciudad de México (AICM).","aeropuerto,extranjeros,turismo,turistas","03-10-24"
"10","Sistemas de Captación de Agua de Lluvia","En esta base podrás encontrar información de los Sistemas de Captación de Agua de Lluvia (SCALL) en viviendas de la Ciudad de México y una nota informativa en la que se explica el proyecto. Este programa social es operado por la Secretaria del Medio Ambiente, a través de la Dirección General de Coordinación de Políticas y Cultura Ambiental y tiene como objetivo mejorar las condiciones de acceso al agua para aquella población que padece desabasto total o parcial.","agua,captación,pluvial,lluvia,sistema,ambiente,clima","26-08-24"
"11","Tiraderos clandestinos","Esta es la base de datos de tiraderos clandestinos al cierre de 2017 publicado por la Secretaría de Medio Ambiente. En esta base se pueden encontrar el identificador único del tiradero, alcaldía, dirección, colonia y referencia geográfica.","tiradero,clandestino,ambiente,clima","23-01-24"
"12","Red Automática de Monitoreo Atmosférico","La Red Automática de Monitoreo Atmosférico (RAMA) es el subsistema del Sistema de Monitoreo Atmosférico de la Ciudad de México (SIMAT) que realiza mediciones continuas y permanentes minuto a minuto de ozono (O3), dióxido de azufre (SO2), óxidos de nitrógeno (NOx), monóxido de carbono (CO), partículas menores a 10 micrómetros (PM10), partículas menores a 2.5 micrómetros (PM2.5) y ácido sulfhídrico (H2S). En este conjunto podrás encontrar los promedios diarios de los registros de estas particulas para la Ciudad de México desde el 2015.","medio,ambiente,climatico,atmósfera,calidad del aire,contaminantes,emisiones,gases,partículas","28-05-24"
"13","Traslados a hospitales por probable caso positivo de COVID-19","Base de datos de los traslados a hospitales llevados a cabo en Ciudad de México, por probable caso positivo de COVID-19. La contabilización de los datos inicia con la remisión del usuario, cuyo origen se registra a través de una llamada al 911 o bien, atención por radio.","covid19,salud,traslados","08-04-22"
"14","Casos Positivos COVID-19 Ciudad de México","En esta base de datos se puede encontrar el total de pruebas realizadas por la ciudad a partir de marzo del 2020 de manera diaria. A partir de las pruebas realizadas, se presenta con la fecha de la toma de muestra, el total de casos que resultaron positivos, negativos y la tasa de positividad para dos grupos de personas: personas que recibieron atención en unidades médicas de la Ciudad de México y para residentes de la ciudad.","casos,positivos,covid19,salud,cdmx","23-01-24"
"15","Casos a nivel nacional asociados a COVID-19","Esta base de datos incluye todos los casos diarios asociados a COVID-19 a nivel federal. Cuenta con contenido desagregado por entidad, sexo, edad, nacionalidad, padecimientos asociados entre otros.","casos,covid19,nacional,salud","01-06-21"
"16","Infracciones de tránsito la Ciudad de México","La publicación de la información contenida en las bases de datos ha sido aprobada por el Instituto de Transparencia, Acceso a la Información Pública, Protección de Datos Personales y Rendición de Cuentas de la Ciudad de México. El Instituto determinó que la información contenida en las bases de datos no representa un riesgo para la integridad de las personas propietarias de los vehículos a los cuales están asociadas las matriculas vehiculares y sus respectivas infracciones al carecer de datos de carácter personal que identifiquen o hagan identificable a una persona.","justicia,seguridad,movilidad,infracciones,tránsito","01-04-2024"
"17","Carpetas de investigación PGJ (archivo)","Esta base de datos contiene las Carpetas de investigación de delitos a nivel de calle de la Procuraduría General de Justicia de la Ciudad de México desde enero de 2016 hasta junio de 2019. Esta base de datos dejó de actualizarse a partir de julio de 2019 debido a que contiene la información de carpetas de investigación de 2018 previa a la reclasificación que realizó la PGJ-CDMX con supervisión de la Oficina de Naciones Unidas contra la Droga y el Delito (UNDOC) y la validación del Centro Nacional de Información (CNI) del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública (SESNSP).","justicia,seguridad,asaltos,crimen,delincuencia,delitos,homicidios,muertes,robos,secuestro","15-04-23"
"18","Deuda pública de la Ciudad de México","Base de datos con la deuda vigente de la Ciudad de México. La información está desagregada por tipo de deuda, acreedor, inicio y fin del crédito, así como el pago de intereses y amortizaciones. Para una correcta interpretación de la información consulte el diccionario de datos de este conjunto.","administración,finanzas,rendición de cuentas,transparencia,presupuesto","06-08-2024"
"19","Ingresos de la Ciudad de México","En este conjunto de datos puedes consultar la información sobre los ingresos de la Ciudad de México estimados de acuerdo con la Ley de Ingresos de la Ciudad de México para los ejercicios fiscales de 2018, 2019, 2020, 2021, 2022, 2023 y 2024 así como los ingresos recaudados de manera trimestral para los mismos años fiscales.","administración,finanzas,rendición de cuentas,finanzas públicas,transparencia,presupuesto","11-12-24"
"20","Presupuesto de egresos 2024","Este conjunto de datos contiene información sobre el Presupuesto de Egresos de la Ciudad de México aprobado para el año fiscal 2024.","administración,finanzas,gasto,público,transparencia","10-10-24"
